name,id,appearance,visibility,description,sprite,volume,weight,max_quantity,rarity
Hammer of Thunder,49,"A massive hammer with a head made of crackling lightning",1.0,"This hammer is imbued with the power of thunder, allowing the wielder to create sonic booms and devastating shockwaves",PLACEHOLDER,0.1,5.0,1,5
Shield of Force,50,"A round shield made of shimmering blue energy",1.0,"This shield is imbued with the power of force, allowing the wielder to block attacks with an impenetrable barrier and push enemies away with a powerful blast",PLACEHOLDER,0.05,3.0,1,5
Spear of Light,51,"A spear with a shaft made of pure light and a pointed tip that glows with divine power",1.0,"This spear is imbued with the power of light, allowing the wielder to smite enemies and heal allies with holy energy",PLACEHOLDER,0.05,2.5,1,4
Mace of Darkness,52,"A mace with spikes made of shadow that seem to absorb light",1.0,"This mace is imbued with the power of darkness, allowing the wielder to drain the life force of enemies and create areas of darkness that block sight",PLACEHOLDER,0.03,1.5,1,3
Rapier of Wind,53,"A thin rapier with a blade made of air that shimmers in the breeze",1.0,"This rapier is imbued with the power of wind, allowing the wielder to move with incredible speed and create powerful gusts that knock back enemies",PLACEHOLDER,0.01,0.5,1,4
Rod of Earth,54,"A sturdy rod made of stone with intricate runes carved into its surface",1.0,"This rod is imbued with the power of earth, allowing the wielder to create earthquakes and summon golems to do their bidding",PLACEHOLDER,0.02,1.0,1,3
Scythe of Death,55,"A curved blade with a black handle that seems to be made of bones",1.0,"This scythe is imbued with the power of death, allowing the wielder to reap the souls of enemies and summon spirits to fight alongside them",PLACEHOLDER,0.05,2.0,1,5
Glaive of Chaos,56,"A two-handed polearm with a blade that seems to shift and change unpredictably",1.0,"This glaive is imbued with the power of chaos, allowing the wielder to cause unpredictable and devastating effects on enemies and the surrounding environment",PLACEHOLDER,0.1,4.0,1,5
Dagger of the Void,57,"A silver dagger with a blade that seems to shimmer and fade in and out of existence",1.0,"This dagger is imbued with the power of the void, allowing the wielder to create portals to other dimensions and manipulate the fabric of reality",PLACEHOLDER,0.01,0.25,1,5
Bow of the Hunt,58,"A wooden bow with intricate carvings of animals and nature",1.0,"This bow is imbued with the power of the hunt, allowing the wielder to track and sense enemies with supernatural senses and shoot arrows that always hit their mark",PLACEHOLDER,0.03,1.5,1,4
Sword of the Elements,59,"A longsword with a blade that seems to be made of a swirling mixture of fire, ice, and lightning",1.0,"This sword is imbued with the power of the elements, allowing the wielder to unleash devastating elemental attacks on enemies and create powerful defensive barriers",PLACEHOLDER,0.02,1.0,1,5
Trident of the Sea,60,"A trident with a shimmering blue shaft and a pointed tip that glows with the power of the ocean",1.0,"This trident is imbued with the power of the sea, allowing the wielder to control water and summon powerful sea creatures to do their bidding",PLACEHOLDER,0.05,2.5,1,4
Health Potion,61,"A small vial of red liquid",1,"Restores 50 health when consumed",PLACEHOLDER,0.25,0.2,5,2
Mana Potion,62,"A small vial of blue liquid",1,"Restores 50 mana when consumed",PLACEHOLDER,0.25,0.2,5,2
Stamina Potion,63,"A small vial of yellow liquid",1,"Restores 50 stamina when consumed",PLACEHOLDER,0.25,0.2,5,2
Antidote,64,"A small vial of green liquid",1,"Cures poison when consumed",PLACEHOLDER,0.25,0.2,5,2
Elixir of Strength,65,"A small vial of purple liquid",1,"Grants a temporary boost to strength when consumed",PLACEHOLDER,0.25,0.2,5,3
Elixir of Dexterity,66,"A small vial of orange liquid",1,"Grants a temporary boost to dexterity when consumed",PLACEHOLDER,0.25,0.2,5,3
Elixir of Intelligence,67,"A small vial of dark blue liquid",1,"Grants a temporary boost to intelligence when consumed",PLACEHOLDER,0.25,0.2,5,3
Elixir of Vitality,68,"A small vial of pink liquid",1,"Grants a temporary boost to vitality when consumed",PLACEHOLDER,0.25,0.2,5,3
Ghost Elixir,69,"A small vial of transparent liquid",1,"Grants temporary intangibility when consumed",PLACEHOLDER,0.25,0.2,5,4
Elixir of Invisibility,70,"A small vial of clear liquid",1,"Grants temporary invisibility when consumed",PLACEHOLDER,0.25,0.2,5,4
Potion of Haste,71,"A small vial of silver liquid",1,"Grants a temporary boost to speed when consumed",PLACEHOLDER,0.25,0.2,5,3
Potion of Regeneration,72,"A small vial of pink liquid with bubbles",1,"Gradually restores health over time when consumed",PLACEHOLDER,0.25,0.2,5,3
Potion of Levitation,73,"A small vial of blue liquid with sparkles",1,"Allows the user to temporarily levitate when consumed",PLACEHOLDER,0.25,0.2,5,4
Potion of Teleportation,74,"A small vial of purple liquid with a swirling mist",1,"Instantly teleports the user to a random location when consumed",PLACEHOLDER,0.25,0.2,5,4
Potion of Fire Resistance,75,"A small vial of orange liquid with a flame symbol",1,"Grants temporary resistance to fire damage when consumed",PLACEHOLDER,0.25,0.2,5,3
Potion of Ice Resistance,76,"A small vial of light blue liquid with a snowflake symbol",1,"Grants temporary resistance to ice damage when consumed",PLACEHOLDER,0.25,0.2,5,3
Potion of Poison Resistance,77,"A small vial of green liquid with a skull symbol",1,"Grants temporary resistance to poison when consumed",PLACEHOLDER,0.25,0.2,5,3
Potion of Healing,78,"A small vial of red liquid with a cross symbol",1,"Restores a moderate amount of health when consumed",PLACEHOLDER,0.25,0.2,5,2
Potion of Mana,79,"A small vial of blue liquid with a star symbol",1,"Restores a moderate amount of mana when consumed",PLACEHOLDER,0.25,0.2,5,2
Potion of Stamina,80,"A small vial of yellow liquid with a lightning bolt symbol",1,"Restores a moderate amount of stamina when consumed",PLACEHOLDER,0.25,0.2,5,2
Bread,91,"A loaf of bread",1,"A basic food item that restores a small amount of health when consumed",PLACEHOLDER,1,0.5,10,1
Leather Armor,92,"A suit of leather armor",1,"Basic armor made from leather that provides some protection from physical attacks",PLACEHOLDER,20,10,1,1
Rope,93,"A coil of rope",1,"A length of rope that can be used for a variety of purposes, such as climbing or tying things together",PLACEHOLDER,1,1,5,1
Torch,94,"A wooden stick with a flaming end",1,"Provides a source of light and heat when lit",PLACEHOLDER,1,0.5,5,1
Lockpick Set,95,"A set of lockpicks",1,"A collection of tools used to pick locks",PLACEHOLDER,0.1,0.05,1,2
Fishing Rod,96,"A fishing rod with a reel and line",1,"Used for catching fish",PLACEHOLDER,5,1,1,2
Backpack,97,"A sturdy backpack",1,"A bag used to carry items",PLACEHOLDER,10,2,1,2
Map,98,"A map of the local area",1,"Shows the geography and landmarks of the surrounding area",PLACEHOLDER,0.5,0.1,1,2
Bedroll,99,"A roll of fabric used for sleeping",1,"A portable sleeping surface",PLACEHOLDER,5,2,1,2
Water Flask,100,"A metal flask filled with water",1,"Provides hydration when consumed",PLACEHOLDER,0.5,0.2,5,1
"Tales of the Duskenwood",71,"A leather-bound tome with intricate silver embossing",1,"An anthology of eerie stories about the haunted Duskenwood",PLACEHOLDER,0.5,0.7,1,2
"The Crystal Mage",72,"A dusty old book with a cracked spine",1,"A guide to the art of crystal magic, complete with diagrams and instructions",PLACEHOLDER,0.3,0.5,1,3
"The Book of Shadows",73,"A thick, black-bound book with no discernible title",1,"A compendium of spells and incantations used by dark wizards and witches",PLACEHOLDER,0.6,0.9,1,4
"The Silver Prince",74,"A beautifully bound tome with silver filigree",1,"A romantic tale of a prince who falls in love with a mysterious woman in silver",PLACEHOLDER,0.4,0.6,1,2
"The Prophecies of the Oracle",75,"A heavy, leather-bound book with gold lettering",1,"A collection of prophecies and predictions made by a powerful oracle",PLACEHOLDER,0.7,1.2,1,4
"The Dragon's Hoard",76,"A large, illustrated book with a red cover",1,"A guide to the hoards of dragons, their treasures, and how to obtain them",PLACEHOLDER,0.8,1.5,1,3
"The Wizard's Grimoire",77,"A thick, heavy book bound in green leather",1,"A comprehensive guide to the art of wizardry and magic, complete with spells and incantations",PLACEHOLDER,0.6,1.0,1,4
"The Lost Kingdoms",78,"A weathered book with a faded map on the cover",1,"A history of the lost kingdoms of the ancient world, with tales of great battles and magical artifacts",PLACEHOLDER,0.5,0.8,1,3
"The Tome of Shadows",79,"A black leather-bound book with silver runes",1,"A forbidden book of dark magic, rumored to contain a powerful curse",PLACEHOLDER,0.4,0.7,1,5
"The Star Weaver's Almanac",80,"A beautifully illustrated book with a starry cover",1,"A guide to the stars and the art of star weaving, complete with spells and rituals",PLACEHOLDER,0.6,1.1,1,4
